"Variable","Subsystem","Measurement_Location","Parameter","Description","Units","max_value","min_value","Aggregation_Method"
"Elec_PowerPlugsInstBR2Hall","Elec","Bedroom 2","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 2","W",79.1013,0,"Average"
"Elec_PowerPlugsInstBR3","Elec","Bedroom3","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 3","W",123.9909,0,"Average"
"Elec_PowerPlugsInstBR4A","Elec","Bedroom4","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4","W",0,0,"Average"
"Elec_PowerPlugsInstBR4B","Elec","Bedroom4","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4","W",0,0,"Average"
"Elec_PowerPlugsInstDRA","Elec","Dining Room","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in dining room","W",855.3694,0,"Average"
"Elec_PowerPlugsInstHall","Elec","Entry Hallway","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in entry hallway","W",675.7955,0,"Average"
"Elec_PowerPlugsInstKitA","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in kitchen","W",79.8439,0,"Average"
"Elec_PowerPlugsInstKitD","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by instrumentation located in kitchen","W",62.0181,0,"Average"
"Elec_PowerPlugsInstLRA","Elec","Living Room","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in living room","W",557.197,0,"Average"
"Elec_PowerPlugsInstLRB","Elec","Living Room","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in living room","W",0,0,"Average"
"Elec_PowerPlugsInstMBAB","Elec","MBath","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in master bathroom","W",0,0,"Average"
"Elec_PowerPlugsInstMBRA","Elec","Master Bedroom","Power_Electrical","Instantaneous power by instrumentation plugged into receptacles in the master bedroom","W",75.7014,0,"Average"
"Elec_PowerPlugsInstMudroomA","Elec","Mudroom","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in mudroom","W",0,0,"Average"
"Elec_PowerPlugsInstMudroomB","Elec","Mudroom","Power_Electrical","Instantaneous power consumption by instrumentation plugged into receptacles in mudroom","W",0,0,"Average"
"Elec_PowerPlugsKitPeninsula","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by mixer and can opener","W",191.0943,0,"Average"
"Elec_PowerPlugsKitRange","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by blender ","W",1014.3569,0,"Average"
"Elec_PowerPlugsKitSink","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by toaster","W",733.1359,0,"Average"
"Elec_PowerPlugsLR","Elec","Living Room","Power_Electrical","Instantaneous power used at receptacles of living room ","W",87.1561,0,"Average"
"Elec_PowerPlugsMBAEast","Elec","MBath","Power_Electrical","Instantaneous power consumption from receptacles on east side of master bathroom ","W",1583.0468,0,"Average"
"Elec_PowerPlugsMBAWest","Elec","MBath","Power_Electrical","Instantaneous power consumption from receptacles on west side of master bathroom ","W",10.8353,0,"Average"
"Elec_PowerPlugsMBR","Elec","MBedroom","Power_Electrical","Instantaneous power consumption from receptacles in master bedroom ","W",1377.312,0,"Average"
"Elec_PowerPV1of2","Elec","Basement","Power_Electrical","Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters","W",5019.9614,0,"Average"
"Elec_PowerPV2of2","Elec","Basement","Power_Electrical","Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters","W",4997.4299,0,"Average"
"Elec_PowerRefrigerator","Elec","Kitchen","Power_Electrical","Instantaneous power consumption by refrigerator ","W",579.1691,0,"Average"
"Elec_PowerSpare1","Elec","Basement","Power_Electrical","Instantaneous power used by standby load in basement","W",12.5866,0,"Average"
"Elec_PowerSpare2","Elec","Basement","Power_Electrical","Instantaneous power consumption by computer network connection in basement","W",1104.3267,0,"Average"
"Elec_PowerSumpPump","Elec","Basement","Power_Electrical","Instantaneous power used by sump pump in basement","W",623.7704,0,"Average"
"HVAC_DehumidifierAirflow","HVAC","Basement","Flow_Air","Average airflow through dedicated dehumidifier over the course of the minute","ft3/min",121.217,0,"Average"
"HVAC_DehumidifierExitAirTemp","HVAC","Basement","Temp_Air","Average temperature of air in outlet duct from dedicated dehumidifier over the course of the minute","degrees F",103.87,-13697579512.677,"Average"
"HVAC_DehumidifierInletAirTemp","HVAC","Basement","Temp_Air","Average temperature of air in inlet duct to dedicated dehumidifier over the course of the minute","degrees F",77.535,-12619775778.144,"Average"
"HVAC_DehumidifierPower","HVAC","Basement","Power_Electrical","Average power consumption of dedicated dehumidifier over the course of the minute","W",650.588,-273.992,"Average"
"HVAC_HeatPumpIndoorUnitPower","HVAC","Basement","Power_Electrical","Average power consumption of heat pump indoor unit (blower, controls, resistance heat) over the course of the minute","W",6681.751,-17087.398,"Average"
"HVAC_HeatPumpOutdoorUnitPower","HVAC","Outdoor","Power_Electrical","Average power consumption of heat pump outdoor unit (compressor, fan, controls, defrost) over the course of the minute","W",2080.517,-72.811,"Average"
"HVAC_HVACDewpointReturnAir","HVAC","Basement","Temp_DewP","Instantaneous dewpoint temperature of air in return duct prior to indoor unit","degrees C",66.0245,0,"Average"
"HVAC_HVACDewpointSupplyAir","HVAC","Basement","Temp_DewP","Instantaneous dewpoint temperature of air in supply duct after indoor unit","degrees C",66.8628,0,"Average"
"HVAC_HVACTempReturnAir","HVAC","Basement","Temp_Air","Instantaneous dry bulb temperature of air in return duct prior to indoor unit","degrees C",79.4699,0,"Average"
"HVAC_HVACTempSupplyAir","HVAC","Basement","Temp_Air","Instantaneous dry bulb temperature of air in supply duct after indoor unit","degrees C",100.7791,-3.8103,"Average"
"IndEnv_BasementRH","IndEnv","Basement","RH","Relative humidity in basement, on a scale of 0 to 1",NA,0,-0.7194,"Average"
"IndEnv_Bedroom2RH","IndEnv","Bedroom2","RH","Relative humidity in bedroom 2 on second floor, on a scale of 0 to 1",NA,0.6924,0,"Average"
"IndEnv_Bedroom3RH","IndEnv","Bedroom3","RH","Relative humidity in bedroom 3 on second floor, on a scale of 0 to 1",NA,0.7093,0,"Average"
"IndEnv_KitchenRH","IndEnv","Kitchen","RH","Relative humidity in kitchen, on a scale of 0 to 1",NA,0.7776,0,"Average"
"IndEnv_LivingRmRH","IndEnv","Living Room","RH","Relative humidity in living room, on a scale of 0 to 1",NA,0.7023,0,"Average"
"IndEnv_MastBedRmRH","IndEnv","Master Bedroom","RH","Relative humidity in master bedroom, on a scale of 0 to 1",NA,0.667,0,"Average"
"IndEnv_MBARH","IndEnv","MBath","RH","Relative humidity in master bathroom, on a scale of 0 to 1",NA,0.6496,0,"Average"
"IndEnv_RadiantTempBR2","IndEnv","Bedroom2","Temp_Rad","Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 2 on second floor","degrees C",27.6884,0,"Average"
"IndEnv_RadiantTempBR3","IndEnv","Bedroom3","Temp_Rad","Instantaneous drybulb temperature within the radiant temperature sensor in bedroom 3 on second floor","degrees C",27.5928,0,"Average"
"IndEnv_RadiantTempKitchen","IndEnv","Kitchen","Temp_Rad","Instantaneous drybulb temperature within the radiant temperature sensor in the kitchen","degrees C",26.9904,0,"Average"
"IndEnv_RadiantTempLR","IndEnv","Living Room","Temp_Rad","Instantaneous drybulb temperature within the radiant temperature sensor in the living room","degrees C",26.6305,0,"Average"
"IndEnv_RadiantTempMBR","IndEnv","Master Bedroom","Temp_Rad","Instantaneous drybulb temperature within the radiant temperature sensor in the master bedroom","degrees C",27.8394,0,"Average"
"IndEnv_RoomTempAtticNE","IndEnv","Attic","Temp_Air","Instantaneous drybulb temperature in northeast quadrant of attic","degrees C",28.6637,0,"Average"
"IndEnv_RoomTempAtticNW","IndEnv","Attic","Temp_Air","Instantaneous drybulb temperature in northwest quadrant of attic","degrees C",28.6939,0,"Average"
"IndEnv_RoomTempAtticSE","IndEnv","Attic","Temp_Air","Instantaneous drybulb temperature in southeast quadrant of attic","degrees C",28.6082,0,"Average"
"IndEnv_RoomTempAtticSW","IndEnv","Attic","Temp_Air","Instantaneous drybulb temperature in southwest quadrant of attic","degrees C",28.8437,0,"Average"
"IndEnv_RoomTempBA1Temp","IndEnv","Bath1","Temp_Air","Instantaneous drybulb temperature in bathroom 1 on first floor","degrees C",26.0958,0,"Average"
"IndEnv_RoomTempBA2Temp","IndEnv","Bath2","Temp_Air","Instantaneous drybulb temperature in bathroom 2 on second floor","degrees C",27.4792,0,"Average"
"IndEnv_RoomTempBasementNE","IndEnv","Basement","Temp_Air","Instantaneous drybulb temperature in middle of northeast quadrant of basement","degrees C",23.4538,0,"Average"
"IndEnv_RoomTempBasementNW","IndEnv","Basement","Temp_Air","Instantaneous drybulb temperature in middle of northwest quadrant of basement","degrees C",51.8131,0,"Average"
"IndEnv_RoomTempBasementSE","IndEnv","Basement","Temp_Air","Instantaneous drybulb temperature in middle of southeast quadrant of basement","degrees C",24.1932,0,"Average"
"IndEnv_RoomTempBasementSW","IndEnv","Basement","Temp_Air","Instantaneous drybulb temperature in middle of southwest quadrant of basement","degrees C",23.5858,0,"Average"
"IndEnv_RoomTempBR2Temp","IndEnv","Bedroom2","Temp_Air","Instantaneous drybulb temperature in bedroom 2 on second floor","degrees C",27.6834,0,"Average"
"IndEnv_RoomTempBR3Temp","IndEnv","Bedroom3","Temp_Air","Instantaneous drybulb temperature in bedroom 3 on second floor","degrees C",27.669,0,"Average"
"IndEnv_RoomTempBR4Temp","IndEnv","Bedroom4","Temp_Air","Instantaneous drybulb temperature in bedroom 4","degrees C",26.4516,0,"Average"
"IndEnv_RoomTempDRTemp","IndEnv","Dining Room","Temp_Air","Instantaneous drybulb temperature in dining room","degrees C",26.4774,0,"Average"
"IndEnv_RoomTempHallLowerMid","IndEnv","Entry Hallway","Temp_Air","Instantaneous drybulb temperature in center hallway, measured at a height of 1.8 m","degrees C",26.9179,0,"Average"
"IndEnv_RoomTempHallLowest","IndEnv","Entry Hallway","Temp_Air","Instantaneous drybulb temperature in center hallway, measured at a height of 0.6 m","degrees C",26.455,0,"Average"
"IndEnv_RoomTempHallMiddle","IndEnv","Entry Hallway","Temp_Air","Instantaneous drybulb temperature in center hallway, measured at a height of 3.0 m","degrees C",27.2659,0,"Average"
"IndEnv_RoomTempHallUpper","IndEnv","Entry Hallway","Temp_Air","Instantaneous drybulb temperature in center hallway, measured at a height of 5.5 m","degrees C",27.6726,0,"Average"
"IndEnv_RoomTempHallUpperMid","IndEnv","Entry Hallway","Temp_Air","Instantaneous drybulb temperature in center hallway, measured at a height of 4.3 m","degrees C",27.4514,0,"Average"
"IndEnv_RoomTempKitchenTemp","IndEnv","Kitchen","Temp_Air","Instantaneous drybulb temperature in kitchen","degrees C",26.6424,0,"Average"
"IndEnv_RoomTempLRTemp","IndEnv","Living Room","Temp_Air","Instantaneous drybulb temperature in living room","degrees C",26.5539,0,"Average"
"IndEnv_RoomTempMBATemp","IndEnv","MBath","Temp_Air","Instantaneous drybulb temperature in master bathroom on second floor","degrees C",29.0191,0,"Average"
"IndEnv_RoomTempMBRTemp","IndEnv","Master Bedroom","Temp_Air","Instantaneous drybulb temperature in master bedroom on second floor","degrees C",27.7595,0,"Average"
"IndEnv_RoomTempWDTemp","IndEnv","Kitchen","Temp_Air","Instantaneous drybulb temperature in utility closet holding clothes washer and dryer","degrees C",34.8266,0,"Average"
"Load_1stFloorLightsEnergyUsage","Load","Multiple","Energy_Electrical","Cumulative energy consumption starting at midnight by lights on first floor","Wh",4113.5671,0,"Hour value"
"Load_1stFloorLightsPowerUsage","Load","Multiple","Power_Electrical","Instantaneous power consumption by lights on first floor ","W",222.1869,0,"Average"
"Load_1stFloorSensHeatEnergyUsage","Load","Multiple","Energy_Thermal","Cumulative energy consumption starting at midnight by sensible heat generators on first floor","Wh",6144.7915,0,"Hour value"
"Load_1stFloorSensHeatPowerUsage","Load","Multiple","Power_Thermal","Instantaneous power consumption by sensible heat emulators on first floor ","W",304.7828,0,"Average"
"Load_2ndFloorLightsEnergyUsage","Load","Multiple","Energy_Electrical","Cumulative energy consumption starting at midnight by lights on second floor","Wh",2253.4097,0,"Hour value"
"Load_2ndFloorLightsPowerUsage","Load","Multiple","Power_Electrical","Instantaneous power consumption by lights on second floor ","W",128.4049,0,"Average"
"Load_2ndFloorSensHeatEnergyUsage","Load","Multiple","Energy_Thermal","Cumulative energy consumption starting at midnight by sensible heat generators on second floor","Wh",5959.6461,0,"Hour value"
"Load_2ndFloorSensHeatPowerUsage","Load","Multiple","Power_Thermal","Instantaneous power consumption by sensible heat emulators on second floor ","W",303.8576,0,"Average"
"Load_BasementPlugLoadsEnergyUsage","Load","Basement","Energy_Electrical","Cumulative energy consumption starting at midnight by plug loads in basement","Wh",4122.5434,0,"Hour value"
"Load_BasementPlugLoadsPowerUsage","Load","Basement","Power_Electrical","Instantaneous power consumption by plug loads in basement","W",1178.7298,0,"Average"
"Load_BR2PlugLoadsEnergyUsage","Load",NA,NA,NA,NA,1106.3591,0,"Hour value"
"Load_BR2PlugLoadsPowerUsage","Load","Bedroom2","Power_Electrical","Instantaneous power consumption by plug loads in bedroom 2","W",59.3171,0,"Average"
"Load_BR3PlugLoadsEnergyUsage","Load",NA,NA,NA,NA,104.1851,0,"Hour value"
"Load_BR3PlugLoadsPowerUsage","Load","Bedroom3","Power_Electrical","Instantaneous power consumption by plug loads in bedroom 3","W",35.3892,0,"Average"
"Load_BR4PlugLoadsEnergyUsage","Load",NA,NA,NA,NA,3079.4031,0,"Hour value"
"Load_BR4PlugLoadsPowerUsage","Load","Bedroom4","Power_Electrical","Instantaneous power consumption by plug loads in bedroom 4","W",758.1755,0,"Average"
"Load_ClothesWasherEnergywithStandby","Load","Utility","Energy_Electrical","Cumulative energy consumption starting at midnight by clothes washer","Wh",418.2012,0,"Hour value"
"Load_ClothesWasherPowerWithStandby","Load","Utility","Power_Electrical","Instantaneous power consumption by clothes washer","W",1066.1896,2.9468,"Average"
"Load_DryerEnergyTotal","Load","Utility","Energy_Electrical","Cumulative energy consumption starting at midnight by dryer","Wh",3817.1068,0,"Hour value"
"Load_DryerPowerTotal","Load","Utility","Power_Electrical","Instantaneous power consumption by dryer","W",5515.3231,0,"Average"
"Load_KPlugLoadsEnergyUsage","Load","Kitchen","Energy_Electrical","Cumulative energy consumption starting at midnight by plug loads in kitchen","Wh",659.1123,0,"Hour value"
"Load_KPlugLoadsPowerUsage","Load","Kitchen","Power_Electrical","Instantaneous power consumption by plug loads in kitchen ","W",2294.3322,0.82,"Average"
"Load_LatentHeatEnergyUsage","Load","Kitchen","Energy_Thermal","Cumulative energy consumption starting at midnight by moisture generators","Wh",1209.5706,0,"Hour value"
"Load_LatentHeatPowerUsage","Load","Kitchen","Power_Thermal","Instantaneous power consumption by moisture generator ","W",62.0181,0,"Average"
"Load_LatentHeatWaterVolume","Load","Kitchen","Flow_Water","Cumulative volume of water injected into space by humidifier to simulate moisture addition by occupant behavior","Gallons",2.2913,0,"Hour value"
"Load_LRPlugLoadsEnergyUsage","Load","Living Room","Energy_Electrical","Cumulative energy consumption starting at midnight by plug loads in living room","Wh",537.5547,0,"Hour value"
"Load_LRPlugLoadsPowerUsage","Load","Living Room","Power_Electrical","Instantaneous power consumption by plug loads in living room ","W",87.1561,0,"Average"
"Load_MBRPlugLoadsEnergyUsage","Load","Master Bedroom","Energy_Electrical","Cumulative energy consumption starting at midnight by plug loads in master bedroom","Wh",2580.1271,0,"Hour value"
"Load_MBRPlugLoadsPowerUsage","Load","Master Bedroom","Power_Electrical","Instantaneous power consumption by plug loads in master bedroom","W",1686.0607,0,"Average"
"Load_MicrowaveEnergywithStandby","Load","Kitchen","Energy_Electrical","Cumulative energy consumption starting at midnight by microwave oven","Wh",555.2698,0,"Hour value"
"Load_MicrowavePowerWithStandby","Load","Kitchen","Power_Electrical","Instantaneous power consumption by microwave oven","W",1386.0168,1.32,"Average"
"Load_OvenEnergyTotal","Load","Kitchen","Energy_Electrical","Cumulative energy consumption starting at midnight by oven","Wh",4107.2684,0,"Hour value"
"Load_OvenPowerTotal","Load","Kitchen","Power_Electrical","Instantaneous power consumption by oven","W",3529.394,9,"Average"
"Load_RefrigeratorEnergywithStandby","Load","Kitchen","Energy_Electrical","Cumulative energy consumption starting at midnight by refrigerator","Wh",1889.0857,0,"Hour value"
"Load_RefrigeratorPowerWithStandby","Load","Kitchen","Power_Electrical","Instantaneous power consumption by refrigerator","W",579.1691,2.5001,"Average"
"Load_RefrigeratorTemp","Load","Kitchen","Temp_Air","Instantaneous temperature within refrigerator compartment","degrees C",8.1915,0,"Average"
"Load_StatusApplianceCooktop","Load","Kitchen","Status_OnOff","Number to indicate whether cooktop is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusApplianceDishwasher","Load","Kitchen","Status_OnOff","Number to indicate whether dishwasher is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusApplianceOven","Load","Kitchen","Status_OnOff","Number to indicate whether oven is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusApplianceRangeHood","Load","Kitchen","Status_OnOff","Number to indicate whether range hood is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusBA1Lights","Load","Bath1","Status_OnOff","Number to indicate whether lights in 1st floor bathroom are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusBA2Lights","Load","Bath2","Status_OnOff","Number to indicate whether lights 2nd floor bathroom located off hallway are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusBR2Lights","Load","Bedroom2","Status_OnOff","Number to indicate whether lights in bedroom 2 are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusBR3Lights","Load","Bedroom3","Status_OnOff","Number to indicate whether lights in bedroom 3 are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusBR4Lights","Load","Bedroom4","Status_OnOff","Number to indicate whether lights in bedroom 4 are activated (1: Yes, O: No)","Binary Status",0,0,"Average"
"Load_StatusDRLights","Load","Dining Room","Status_OnOff","Number to indicate whether lights in dining room are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusEntryHallLights","Load","Entry Hallway","Status_OnOff","Number to indicate whether lights in entry hallway are activated (1: Yes, O: No)","Binary Status",0,0,"Average"
"Load_StatusKitchenLightsA","Load","Kitchen","Status_OnOff","Number to indicate whether lights A in kitchen are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusKitchenLightsB","Load",NA,NA,NA,"Binary Status",1,0,"Average"
"Load_StatusKitchenLightsC","Load","Kitchen","Status_OnOff","Number to indicate whether lights C in kitchen are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusLatentload","Load","Kitchen","Status_OnOff","Number to indicate whether moisture generator is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusLRLights1","Load","Living Room","Status_OnOff","Number to indicate whether lights in living room are activated (1: Yes, O: No)","Binary Status",0,0,"Average"
"Load_StatusLRLights2","Load","Living Room","Status_OnOff","Number to indicate whether lights in living room are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusLRLights3","Load","Living Room","Status_OnOff","Number to indicate whether lights in living room are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusMBALights","Load","MBath","Status_OnOff","Number to indicate whether lights in master bathroom are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusMBRLights1","Load","Master Bedroom","Status_OnOff","Number to indicate whether lights A in master bedroom are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusMBRLights2","Load","Master Bedroom","Status_OnOff","Number to indicate whether lights B in master bedroom are activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadBlender","Load","Kitchen","Status_OnOff","Number to indicate whether blender is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadBR2Laptop","Load","Bedroom2","Status_OnOff","Number to indicate whether laptop computer in bedroom 2 is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadBR3Laptop","Load","Bedroom3","Status_OnOff","Number to indicate whether laptop computer in bedroom 3 is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadCanOpener","Load","Kitchen","Status_OnOff","Number to indicate whether can opener is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadCoffeeMaker","Load","Kitchen","Status_OnOff","Number to indicate whether coffee maker is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadDesktopPCMonitor","Load","Bedroom4","Status_OnOff","Number to indicate whether desktop computer and monitor in first floor bedroom is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadFan","Load","Master Bedroom","Status_OnOff","Number to indicate whether fan in master bedroom is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadHairDryerCurlIron","Load","MBath","Status_OnOff","Number to indicate whether hair dryer or curling iron is activated (1: Yes, O: No)","Binary Status",0,0,"Average"
"Load_StatusPlugLoadHandMixer","Load","Kitchen","Status_OnOff","Number to indicate whether hand mixer is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadHeatingPad","Load","Master Bedroom","Status_OnOff","Number to indicate whether heating pad is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadIron","Load","Master Bedroom","Status_OnOff","Number to indicate whether iron is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadLRBlueRay","Load","Living Room","Status_OnOff","Number to indicate whether BluRay player in living room is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadLRTV","Load","Living Room","Status_OnOff","Number to indicate whether television in living room is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadMBRBlueRay","Load","Master Bedroom","Status_OnOff","Number to indicate whether BluRay player in master bedroom is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadMBRTV","Load","Master Bedroom","Status_OnOff","Number to indicate whether television in master bedroom is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadSlowCooker","Load","Kitchen","Status_OnOff","Number to indicate whether slow cooker is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadToaster","Load","Kitchen","Status_OnOff","Number to indicate whether toaster is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadToasterOven","Load","Kitchen","Status_OnOff","Number to indicate whether toaster oven is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadVacuum","Load","Bedroom4","Status_OnOff","Number to indicate whether vacuum is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusPlugLoadVideoGame","Load","Living Room","Status_OnOff","Number to indicate whether video game console in living room is activated (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatChildADOWN","Load","Living Room","Status_OnOff","Number to indicate whether child A is simulated as being downstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatChildAUP","Load","Bedroom2","Status_OnOff","Number to indicate whether child A is simulated as being upstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatChildBDOWN","Load","Dining Room","Status_OnOff","Number to indicate whether child B is simulated as being downstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatChildBUP","Load","Bedroom3","Status_OnOff","Number to indicate whether child B is simulated as being upstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatPrntADOWN","Load","Kitchen","Status_OnOff","Number to indicate whether parent A is simulated as being downstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatPrntAUP","Load","Master Bedroom","Status_OnOff","Number to indicate whether parent A is simulated as being upstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatPrntBDOWN","Load","Dining Room","Status_OnOff","Number to indicate whether parent B is simulated as being downstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Load_StatusSensHeatPrntBUP","Load","Master Bedroom","Status_OnOff","Number to indicate whether parent B is simulated as being upstairs (1: Yes, O: No)","Binary Status",1,0,"Average"
"Misc_UTR1Temperature","Misc",NA,NA,NA,NA,29.6735,0,NA
"Misc_UTR2Temperature","Misc",NA,NA,NA,NA,29.7845,0,NA
"OutEnv_OutdoorAmbTemp","OutEnv","Outdoor","Temp_Air","Instantaneous dry bulb temperature measured on roof of house","degrees C",36.2318,-16.6723,"Average"
"OutEnv_RooftopWindDirection","OutEnv","Outdoor","Flow_Air","Instantaneous wind direction measured on roof of house; 0° means wind is blowing from true north; all other readings are taken relative to clockwise from true north.  For example, 90° means wind is blowing from true east to true west.   ","degrees",359,0,"Average"
"OutEnv_RooftopWindSpeed","OutEnv","Outdoor","Flow_Air","Instantaneous wind speed measured on roof of house","m/s",17.9,0,"Average"
"PV_AmpsAIA1","PV","Attic","Current_Electrical","Instantaneous current produced from the Phase A wire from inverter 1 (AC)","A",21.5836,0,"Average"
"PV_AmpsAIA2","PV","Attic","Current_Electrical","Instantaneous current produced from the Phase A wire from inverter 2 (AC)","A",21.677,0,"Average"
"PV_AmpsBIB1","PV","Attic","Current_Electrical","Instantaneous current produced from the Phase B wire from inverter 1 (AC)","V",21.6902,0,"Average"
"PV_AmpsBIB2","PV","Attic","Current_Electrical","Instantaneous current produced from the Phase B wire from inverter 2 (AC)","V",21.7221,0,"Average"
"PV_FrequencyF1","PV","Attic","Frequency_Electrical","Instantaneous frequency of AC electricity output from inverter 1","Hz",60.0707,0,"Average"
"PV_FrequencyF2","PV","Attic","Frequency_Electrical","Instantaneous frequency of AC electricity output from inverter 2","Hz",60.0621,0,"Average"
"PV_PowerFactor3PhTotalPF3PhT1","PV","Attic","PowerFactor_Electrical","Instantaneous power factor of electricity output from inverter 1 (Single Phase AC)",NA,1,-0.1054,"Average"
"PV_PowerFactor3PhTotalPF3PhT2","PV","Attic","PowerFactor_Electrical","Instantaneous power factor of electricity output from inverter 2 (Single Phase AC)",NA,1,-0.1082,"Average"
"PV_PVBacksideTemp2","PV","Outdoor","Temp_PV","Instantaneous temperature on the backside of module at location 2 of the photovoltaic array.  Location 2 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ","degrees C",69.6316,-20.584,"Average"
"PV_PVBacksideTemp3","PV","Outdoor","Temp_PV","Instantaneous temperature on the backside of module at location 3 of the photovoltaic array.  Location 3 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ","degrees C",67.7424,-20.3156,"Average"
"PV_PVBacksideTemp4","PV","Outdoor","Temp_PV","Instantaneous temperature on the backside of module at location 4 of the photovoltaic array.  Location 4 is on the 3rd string from the bottom of the array, the fourth module from the west side of the array.  ","degrees C",70.9768,-20.6643,"Average"
"PV_PVBacksideTemp7","PV","Outdoor","Temp_PV","Instantaneous temperature on the backside of module at location 7 of the photovoltaic array.  Location 7 is on the top string of the array, the west-most module of the array.  ","degrees C",68.6899,-20.2926,"Average"
"PV_PVInsolationHArray","PV","Outdoor","Light_Solar","The amount of sunlight impacting the array during the past minute.  ","kWh",1.1251,0,"Sum"
"PV_PVSystem1ACEnergyOSEACPV1OS","PV","Attic","Energy_Electrical","Cumulative AC energy generation out of inverter 1 of the photovoltaic array; data collected with current shunts.  ","Wh",37377,0,"Hour value"
